time: 3.5111 , HR: 0.00 
time: 3.6170 , HR: 0.00 
time: 3.6954 , HR: 0.00 
time: 3.7738 , HR: 0.00 
time: 3.8320 , HR: 0.00 
time: 3.8971 , HR: 0.00 
time: 3.9589 , HR: 0.00 
time: 4.0271 , HR: 0.00 
time: 4.0957 , HR: 0.00 
time: 4.1636 , HR: 0.00 
time: 4.2226 , HR: 0.00 
time: 4.2854 , HR: 0.00 
time: 5.4469 , HR: 0.00 
time: 5.9159 , HR: 0.00 
time: 5.9904 , HR: 0.00 
time: 6.0582 , HR: 0.00 
time: 6.1212 , HR: 0.00 
time: 6.1921 , HR: 0.00 
time: 6.2533 , HR: 0.00 
time: 6.3305 , HR: 0.00 
time: 6.3889 , HR: 0.00 
time: 6.4620 , HR: 0.00 
time: 6.5244 , HR: 0.00 
time: 6.5965 , HR: 0.00 
time: 6.6586 , HR: 0.00 
time: 6.7296 , HR: 0.00 
time: 6.7994 , HR: 0.00 
time: 6.8682 , HR: 0.00 
time: 6.9299 , HR: 0.00 
time: 6.9937 , HR: 0.00 
time: 7.0679 , HR: 0.00 
time: 7.1330 , HR: 0.00 
time: 7.1905 , HR: 0.00 
time: 7.2636 , HR: 0.00 
time: 7.3252 , HR: 0.00 
time: 7.3997 , HR: 0.00 
time: 7.4577 , HR: 0.00 
time: 7.5316 , HR: 0.00 
time: 7.5927 , HR: 0.00 
time: 7.6678 , HR: 0.00 
time: 7.7257 , HR: 0.00 
time: 7.7999 , HR: 0.00 
time: 7.8632 , HR: 0.00 
time: 7.9330 , HR: 0.00 
time: 8.0017 , HR: 0.00 
time: 8.0711 , HR: 0.00 
time: 8.1316 , HR: 0.00 
time: 8.2005 , HR: 0.00 
time: 8.2737 , HR: 0.00 
time: 8.3396 , HR: 0.00 
time: 8.3990 , HR: 0.00 
time: 8.4700 , HR: 0.00 
time: 8.5317 , HR: 0.00 
time: 8.6091 , HR: 0.00 
time: 8.6697 , HR: 0.00 
time: 8.7387 , HR: 0.00 
time: 8.8000 , HR: 0.00 
time: 8.8736 , HR: 0.00 
time: 8.9317 , HR: 0.00 
time: 9.0029 , HR: 0.00 
time: 9.0663 , HR: 0.00 
time: 9.1400 , HR: 0.00 
time: 9.2062 , HR: 0.00 
time: 9.2717 , HR: 0.00 
time: 9.3328 , HR: 0.00 
time: 9.4082 , HR: 0.00 
time: 9.4745 , HR: 0.00 
time: 9.5396 , HR: 0.00 
time: 9.6025 , HR: 0.00 
time: 9.6728 , HR: 0.00 
time: 9.7326 , HR: 0.00 
time: 9.8064 , HR: 0.00 
time: 9.8702 , HR: 0.00 
time: 9.9394 , HR: 0.00 
time: 10.0003 , HR: 0.00 
time: 10.0793 , HR: 0.00 
time: 10.1382 , HR: 0.00 
time: 10.2083 , HR: 0.00 
time: 10.2724 , HR: 0.00 
time: 10.3471 , HR: 0.00 
time: 10.4149 , HR: 0.00 
time: 10.4782 , HR: 0.00 
time: 10.5398 , HR: 0.00 
time: 10.6126 , HR: 0.00 
time: 10.6809 , HR: 0.00 
time: 10.7463 , HR: 0.00 
time: 10.8074 , HR: 0.00 
time: 10.8833 , HR: 0.00 
time: 10.9505 , HR: 0.00 
time: 11.0132 , HR: 0.00 
time: 11.0734 , HR: 0.00 
time: 11.1517 , HR: 0.00 
time: 11.2121 , HR: 0.00 
time: 11.2840 , HR: 0.00 
time: 11.3453 , HR: 0.00 
time: 11.4161 , HR: 0.00 
time: 11.4778 , HR: 0.00 
time: 11.5553 , HR: 0.00 
time: 11.6255 , HR: 0.00 
time: 11.7005 , HR: 65.94 
time: 11.9115 , HR: 65.10 
time: 11.9921 , HR: 65.09 
time: 12.0644 , HR: 65.13 
time: 12.1402 , HR: 65.00 
time: 12.2209 , HR: 64.87 
time: 12.2929 , HR: 64.79 
time: 12.3511 , HR: 64.87 
time: 12.4176 , HR: 64.89 
time: 12.5026 , HR: 64.76 
time: 12.5876 , HR: 64.55 
time: 12.6511 , HR: 64.55 
time: 12.7357 , HR: 65.85 
time: 12.8676 , HR: 60.42 
time: 12.9434 , HR: 60.41 
